id,key,value,type
23225538,name,Saskatchewan Drive NW,regular
23225538,bicycle,designated,regular
23225538,highway,residential,regular
23225548,name,119 Street NW,regular
23225548,highway,residential,regular
23225549,name,80 Avenue NW,regular
23225549,highway,residential,regular
23225552,name,79 Avenue NW,regular
23225552,highway,residential,regular
23225555,name,114 Street NW,regular
23225555,lanes,2,regular
23225555,oneway,yes,regular
23225555,highway,secondary_link,regular
23225556,name,78 Avenue NW,regular
23225556,highway,residential,regular
23225574,name,77 Avenue NW,regular
23225574,highway,residential,regular
23225577,name,116 Street NW,regular
23225577,highway,residential,regular
23225583,name,118 Street NW,regular
23225583,highway,residential,regular
23225584,name,118 Street NW,regular
23225584,highway,residential,regular
23225589,name,74 Avenue NW,regular
23225589,highway,residential,regular
23225604,name,75 Avenue NW,regular
23225604,highway,residential,regular
23225606,name,119 Street NW,regular
23225606,oneway,yes,regular
23225606,highway,residential,regular
23225607,name,118A Street NW,regular
23225607,highway,residential,regular
23225612,name,73 Avenue NW,regular
23225612,highway,residential,regular
23225613,name,114A Street NW,regular
23225613,highway,residential,regular
23225614,name,72 Avenue NW,regular
23225614,highway,residential,regular
23225621,name,Saskatchewan South Drive NW,regular
23225621,bicycle,designated,regular
23225621,highway,residential,regular
23225622,name,Saskatchewan South Drive NW,regular
23225622,highway,residential,regular
23225628,name,71A Avenue NW,regular
23225628,highway,residential,regular
23225631,name,116 Street NW,regular
23225631,bicycle,designated,regular
23225631,highway,residential,regular
23225634,name,79 Avenue NW,regular
23225634,highway,residential,regular
23225644,name,79 Avenue NW,regular
23225644,highway,residential,regular
23225644,sidewalk,both,regular
23225648,name,77 Avenue NW,regular
23225648,highway,residential,regular
23225649,name,75 Avenue NW,regular
23225649,highway,residential,regular
23225649,created_by,Potlatch 0.9c,regular
23225659,name,73 Avenue NW,regular
23225659,highway,residential,regular
23225662,name,74 Avenue NW,regular
23225662,highway,residential,regular
23225680,name,109 Street NW,regular
23225680,oneway,yes,regular
23225680,highway,secondary,regular
23225685,lit,yes,regular
23225685,name,109 Street NW,regular
23225685,lanes,4,regular
23225685,bicycle,yes,regular
23225685,highway,secondary,regular
23225685,cycleway,no,regular
23225685,maxspeed,50,regular
23225691,name,113 Street NW,regular
23225691,lanes,2,regular
23225691,oneway,yes,regular
23225691,highway,secondary,regular
23225691,maxspeed,60,regular
23225693,name,61 Avenue NW,regular
23225693,lanes,2,regular
23225693,oneway,yes,regular
23225693,highway,secondary,regular
23225702,name,109 Street NW,regular
23225702,lanes,1,regular
23225702,oneway,yes,regular
23225702,source,Yahoo,regular
23225702,highway,residential,regular
23225702,surface,asphalt,regular
23225709,name,60A Avenue NW,regular
23225709,lanes,2,regular
23225709,highway,residential,regular
23225709,surface,asphalt,regular
23225731,name,Allendale Road NW,regular
23225731,lanes,2,regular
23225731,oneway,yes,regular
23225731,highway,secondary,regular
23226305,name,Emily Murphy Park Road NW,regular
23226305,lanes,2,regular
23226305,oneway,no,regular
23226305,highway,tertiary,regular
23226323,name,118 Street NW,regular
23226323,highway,residential,regular
23226331,name,110 Street NW,regular
23226331,oneway,yes,regular
23226331,source,survey,regular
23226331,highway,residential,regular
23226331,left,opposite_lane,cycleway
23226331,bicycle,no,oneway
23226346,name,84 Avenue NW,regular
23226346,highway,residential,regular
23226350,name,83 Avenue NW,regular
23226350,highway,residential,regular
23226358,name,81 Avenue NW,regular
23226358,highway,residential,regular
23226369,name,80 Avenue NW,regular
23226369,highway,residential,regular
23226373,name,81 Ave NW,regular
23226373,highway,unclassified,regular
23226381,name,79 Avenue NW,regular
23226381,highway,residential,regular
23226387,name,78 Ave NW,regular
23226387,highway,residential,regular
23226399,name,77 Avenue NW,regular
23226399,highway,residential,regular
23226400,name,77 Avenue NW,regular
23226400,highway,residential,regular
23226407,name,75 Avenue NW,regular
23226407,highway,residential,regular
23226413,name,71 Avenue NW,regular
23226413,highway,residential,regular
23226428,name,70 Avenue NW,regular
23226428,highway,residential,regular
23226429,name,112A Street NW,regular
23226429,lanes,2,regular
23226429,highway,residential,regular
23226437,name,65 Avenue NW,regular
23226437,highway,residential,regular
23226449,name,68 Avenue NW,regular
23226449,highway,residential,regular
23226450,name,110 Street NW,regular
23226450,highway,residential,regular
23226451,name,66 Avenue NW,regular
23226451,highway,residential,regular
23226457,name,69 Avenue NW,regular
23226457,highway,residential,regular
23226458,name,68 Avenue NW,regular
23226458,highway,residential,regular
23226459,name,67 Avenue NW,regular
23226459,highway,residential,regular
23226460,name,107 Street NW,regular
23226460,highway,residential,regular
23226461,name,63 Avenue NW,regular
23226461,lanes,2,regular
23226461,bicycle,designated,regular
23226461,highway,residential,regular
23226461,surface,asphalt,regular
23226468,name,64 Avenue NW,regular
23226468,lanes,2,regular
23226468,highway,residential,regular
23226468,surface,asphalt,regular
23226469,name,111A Street NW,regular
23226469,lanes,2,regular
23226469,highway,residential,regular
23226469,surface,asphalt,regular
23226470,name,110 Street NW,regular
23226470,lanes,2,regular
23226470,highway,residential,regular
23226470,surface,asphalt,regular
23226476,name,62 Avenue NW,regular
23226476,lanes,2,regular
23226476,highway,residential,regular
23226476,surface,asphalt,regular
23226481,name,63 Avenue NW,regular
23226481,lanes,2,regular
23226481,highway,residential,regular
23226481,surface,asphalt,regular
23226482,name,64 Avenue NW,regular
23226482,lanes,2,regular
23226482,highway,residential,regular
23226482,surface,asphalt,regular
23226497,name,115 Street NW,regular
23226497,lanes,2,regular
23226497,bicycle,designated,regular
23226497,highway,residential,regular
23226497,surface,asphalt,regular
23226501,name,60 Avenue NW,regular
23226501,lanes,1,regular
23226501,oneway,yes,regular
23226501,highway,residential,regular
23226501,surface,asphalt,regular
23226505,lit,yes,regular
23226505,name,113A Street NW,regular
23226505,lanes,2,regular
23226505,highway,residential,regular
23226505,surface,asphalt,regular
23226506,name,54 Avenue NW,regular
23226506,lanes,2,regular
23226506,highway,residential,regular
23226506,surface,asphalt,regular
23226512,name,114A Street NW,regular
23226512,lanes,2,regular
23226512,highway,residential,regular
23226512,surface,asphalt,regular
23226513,highway,residential,regular
23226513,lanes,2,regular
23226513,lit,yes,regular
