id,user,uid,version,changeset,timestamp
23226346,Sundance,239998,5,12673039,2012-08-09T20:02:18Z
23226350,Viajero Perdido,2365330,11,44430243,2016-12-15T18:39:23Z
23226358,yegbin,3274426,9,40632876,2016-07-10T15:42:33Z
23226369,ionutr_telenav,4930407,10,46134869,2017-02-16T11:50:52Z
23226373,yoltia,167781,3,9678529,2011-10-28T17:29:00Z
23226381,Sundance,239998,3,32919440,2015-07-27T22:02:35Z
23226387,user_5365,5365,4,4800071,2010-05-25T02:52:14Z
23226399,Sundance,239998,6,32919440,2015-07-27T22:02:36Z
23226400,Sundance,239998,4,33715795,2015-08-31T22:32:10Z
23226407,yegbin,3274426,5,40670692,2016-07-12T02:20:12Z
23226413,yegbin,3274426,6,40671727,2016-07-12T04:34:41Z
23226428,yegbin,3274426,13,40671727,2016-07-12T04:34:41Z
23226429,yegbin,3274426,7,40513353,2016-07-06T03:44:53Z
23226437,yegbin,3274426,20,40513353,2016-07-06T03:44:54Z
23226449,yegbin,3274426,3,40513353,2016-07-06T03:44:55Z
23226450,yegbin,3274426,9,40485807,2016-07-04T19:54:31Z
23226451,ec90,69097,6,28300321,2015-01-21T06:12:00Z
23226457,Sundance,239998,4,4099753,2010-03-11T17:53:58Z
23226458,Sundance,239998,4,4099753,2010-03-11T17:53:47Z
23226459,Sundance,239998,4,4099753,2010-03-11T17:53:47Z
23226460,edmontongeo,2550880,5,28173811,2015-01-15T21:22:31Z
23226461,yegbin,3274426,7,40504666,2016-07-05T17:19:19Z
23226468,yegbin,3274426,7,40513353,2016-07-06T03:44:54Z
23226469,andrewpmk,1679,6,26753563,2014-11-13T11:06:44Z
23226470,yegbin,3274426,6,40513353,2016-07-06T03:44:53Z
23226476,yegbin,3274426,6,40671727,2016-07-12T04:34:41Z
23226481,yegbin,3274426,9,40671727,2016-07-12T04:34:41Z
23226482,andrewpmk,1679,5,26753563,2014-11-13T11:06:52Z
23226497,Sundance,239998,18,35972733,2015-12-15T18:24:35Z
23226501,andrewpmk,1679,18,26753563,2014-11-13T11:06:51Z
23226505,andrewpmk,1679,11,26753563,2014-11-13T11:06:46Z
23226506,andrewpmk,1679,14,26753861,2014-11-13T11:24:08Z
23226512,andrewpmk,1679,9,26753563,2014-11-13T11:06:46Z
23226513,bwrasko,5450507,25,48979776,2017-05-25T17:21:48Z
23226514,bwrasko,5450507,17,48979776,2017-05-25T17:21:48Z
23226516,andrewpmk,1679,6,26753563,2014-11-13T11:06:45Z
23226518,andrewpmk,1679,5,26753563,2014-11-13T11:06:50Z
23226519,andrewpmk,1679,5,26753563,2014-11-13T11:06:45Z
23226520,andrewpmk,1679,5,26753563,2014-11-13T11:06:50Z
23226522,andrewpmk,1679,6,26753563,2014-11-13T11:06:45Z
23233499,yegbin,3274426,7,40671878,2016-07-12T04:51:41Z
23233507,yegbin,3274426,10,40671878,2016-07-12T04:51:41Z
23233512,yegbin,3274426,18,40671878,2016-07-12T04:51:41Z
23233539,yegbin,3274426,4,40671727,2016-07-12T04:34:39Z
23233542,yegbin,3274426,7,40671727,2016-07-12T04:34:41Z
23233607,yegbin,3274426,6,40671452,2016-07-12T04:02:04Z
23233622,yegbin,3274426,3,40671452,2016-07-12T04:02:04Z
23233624,yegbin,3274426,4,40671452,2016-07-12T04:02:04Z
